epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2833,3.53117,10.3945,1.64736,0,0,0,0,6.25052,6.799,2.32991,0.00496212,0.00496212,0.0950379
2,68.6536,3.84424,3.99169,1.53152,0.01918,0.02269,0.00445,0.00067,3.62021,5.38806,1.52827,0.00992925,0.00992925,0.090005
3,98.0754,3.55272,3.74404,1.41032,0.00372,0.03891,0.00026,6e-05,3.96813,5.17817,1.63553,0.0148634,0.0148634,0.0849391
4,127.708,3.36553,3.59237,1.34515,0.07829,0.12086,0.03757,0.01138,3.29482,6.73835,1.37091,0.0197645,0.0197645,0.0798403
5,157.233,3.2386,3.29667,1.31513,0.02192,0.066,0.0065,0.00143,3.59273,5.36593,1.45844,0.0246326,0.0246326,0.0747084
6,186.739,3.10902,3.0719,1.26233,0.1273,0.11699,0.05251,0.01434,3.28869,3.71898,1.36821,0.0294677,0.0294677,0.0695435
7,216.389,3.05033,2.88533,1.24112,0.15886,0.09675,0.05932,0.01486,3.26135,3.1234,1.32193,0.0342699,0.0342699,0.0643456
8,245.884,2.99531,2.75082,1.21493,0.04718,0.04307,0.00858,0.00194,3.75198,3.9142,1.49663,0.039039,0.039039,0.0591148
9,275.194,2.92946,2.53269,1.2129,0.19983,0.11239,0.02336,0.0056,3.7421,3.88495,1.48611,0.0437751,0.0437751,0.0538509
10,304.572,2.85017,2.42317,1.18915,0.29018,0.17701,0.14741,0.0506,3.04136,3.19395,1.26015,0.0484782,0.0484782,0.048554
11,333.902,2.83634,2.30782,1.18989,0.2387,0.21128,0.16619,0.05475,2.86494,2.91964,1.22889,0.04835,0.04835,0.04835
12,363.31,2.74603,2.12731,1.16329,0.22947,0.2252,0.16726,0.06191,2.85615,2.78181,1.22568,0.048185,0.048185,0.048185
13,392.62,2.66666,2.01211,1.14995,0.30652,0.26424,0.137,0.05237,2.71081,3.0298,1.1949,0.04802,0.04802,0.04802
14,421.901,2.62707,1.87796,1.13079,0.28359,0.19627,0.15934,0.05328,3.1673,2.89562,1.32373,0.047855,0.047855,0.047855
15,451.191,2.57776,1.80189,1.10863,0.27307,0.23557,0.17616,0.05852,2.79768,3.01325,1.19907,0.04769,0.04769,0.04769
16,480.475,2.51914,1.7212,1.10269,0.32077,0.2092,0.14528,0.04791,3.2002,2.99244,1.32847,0.047525,0.047525,0.047525
17,509.844,2.48305,1.67513,1.08862,0.37629,0.27034,0.2444,0.08844,2.74483,2.95243,1.20044,0.04736,0.04736,0.04736
18,539.18,2.49379,1.62366,1.08437,0.59123,0.27688,0.28339,0.10483,2.6424,2.76224,1.15943,0.047195,0.047195,0.047195
19,568.647,2.4047,1.5459,1.06723,0.36397,0.33185,0.29788,0.10178,2.67778,2.64241,1.17227,0.04703,0.04703,0.04703
20,598.05,2.39651,1.51743,1.06658,0.42344,0.37052,0.32171,0.1313,2.51128,2.42277,1.12264,0.046865,0.046865,0.046865
21,627.449,2.3709,1.47571,1.05938,0.51424,0.28524,0.31107,0.10488,2.63678,2.59861,1.15387,0.0467,0.0467,0.0467
22,656.828,2.3316,1.42726,1.04604,0.58286,0.3506,0.3639,0.14275,2.59645,2.48646,1.13469,0.046535,0.046535,0.046535
23,686.217,2.32395,1.38912,1.05609,0.30068,0.26969,0.24502,0.10068,2.63017,2.80256,1.14822,0.04637,0.04637,0.04637
24,715.579,2.29566,1.40928,1.04365,0.49658,0.33346,0.33283,0.1398,2.41409,2.60002,1.10332,0.046205,0.046205,0.046205
25,744.981,2.28519,1.34178,1.04826,0.39676,0.36713,0.31148,0.12043,2.49178,2.60253,1.1179,0.04604,0.04604,0.04604
26,774.275,2.22808,1.31889,1.02726,0.48341,0.38048,0.38297,0.14875,2.50493,2.35828,1.11776,0.045875,0.045875,0.045875
27,803.589,2.23536,1.32169,1.02945,0.53569,0.42941,0.40962,0.15264,2.46817,2.41817,1.1055,0.04571,0.04571,0.04571
28,832.888,2.21991,1.29605,1.01992,0.54991,0.29667,0.30733,0.12347,2.54316,2.7235,1.12824,0.045545,0.045545,0.045545
29,862.474,2.20279,1.26383,1.01746,0.51374,0.36191,0.37301,0.16094,2.40501,2.41254,1.08545,0.04538,0.04538,0.04538
30,891.823,2.20196,1.25969,1.02391,0.41734,0.41007,0.37996,0.15313,2.44281,2.51064,1.09986,0.045215,0.045215,0.045215
31,921.621,2.14636,1.21081,1.0076,0.4186,0.39637,0.34884,0.14012,2.43534,2.58546,1.09002,0.04505,0.04505,0.04505
32,951.031,2.15273,1.20911,1.01324,0.53019,0.36074,0.34921,0.1273,2.57156,2.63339,1.11341,0.044885,0.044885,0.044885
33,980.523,2.12511,1.17437,1.00334,0.58822,0.34384,0.36578,0.15034,2.5143,2.40111,1.12076,0.04472,0.04472,0.04472
34,1010.03,2.17652,1.19741,1.00754,0.55051,0.36538,0.36885,0.1468,2.43507,2.6573,1.09518,0.044555,0.044555,0.044555
35,1039.57,2.11443,1.17795,1.00201,0.46688,0.33151,0.31639,0.12006,2.63535,2.6856,1.14649,0.04439,0.04439,0.04439
36,1069.02,2.1178,1.17995,0.99595,0.68433,0.35628,0.41359,0.1687,2.3916,2.3819,1.08564,0.044225,0.044225,0.044225
37,1098.59,2.07133,1.13346,0.98443,0.40217,0.41339,0.35607,0.13484,2.50812,2.64785,1.10723,0.04406,0.04406,0.04406
38,1128.18,2.06825,1.1227,0.98132,0.53151,0.3696,0.36761,0.14104,2.51283,2.52596,1.10565,0.043895,0.043895,0.043895
39,1157.6,2.07615,1.09924,0.98345,0.48141,0.36107,0.3639,0.14333,2.46529,2.52542,1.11517,0.04373,0.04373,0.04373
40,1187.03,2.03898,1.10776,0.98023,0.45507,0.42481,0.38309,0.14605,2.49353,2.6032,1.10895,0.043565,0.043565,0.043565
41,1216.52,2.02697,1.08003,0.97382,0.53204,0.38919,0.38257,0.1503,2.44257,2.55163,1.0961,0.0434,0.0434,0.0434
42,1245.92,2.03224,1.06601,0.97546,0.48522,0.36836,0.36279,0.13907,2.46744,2.56771,1.10191,0.043235,0.043235,0.043235
43,1275.23,2.00977,1.07912,0.96921,0.41582,0.36731,0.3462,0.15128,2.28034,2.58128,1.05943,0.04307,0.04307,0.04307
44,1304.52,2.0137,1.05621,0.96795,0.49167,0.38678,0.3811,0.14588,2.43229,2.4979,1.10213,0.042905,0.042905,0.042905
45,1333.9,2.03382,1.05914,0.97228,0.5372,0.35013,0.35753,0.14257,2.41391,2.84566,1.10309,0.04274,0.04274,0.04274
46,1363.31,2.00378,1.05757,0.97261,0.65841,0.39465,0.40822,0.1522,2.41688,2.47137,1.08784,0.042575,0.042575,0.042575
47,1392.76,1.952,1.03009,0.96592,0.63834,0.37424,0.40745,0.17371,2.34444,2.49598,1.0605,0.04241,0.04241,0.04241
48,1422.5,1.99865,1.04545,0.95767,0.431,0.36363,0.33995,0.13386,2.52997,2.73273,1.11256,0.042245,0.042245,0.042245
49,1451.77,1.93124,1.02712,0.96031,0.49982,0.39606,0.38629,0.1523,2.45644,2.48568,1.1044,0.04208,0.04208,0.04208
50,1481.09,1.98635,1.0299,0.96491,0.55455,0.35299,0.38613,0.16468,2.35722,2.67616,1.07155,0.041915,0.041915,0.041915
51,1510.36,1.92174,1.00416,0.95598,0.64609,0.3919,0.42315,0.18379,2.37434,2.46025,1.08759,0.04175,0.04175,0.04175
52,1540.01,1.93758,1.01541,0.95623,0.56277,0.38247,0.38778,0.15611,2.44897,2.53677,1.10432,0.041585,0.041585,0.041585
53,1569.53,1.94549,0.98912,0.95833,0.59933,0.37216,0.39793,0.15095,2.47481,2.55905,1.09817,0.04142,0.04142,0.04142
54,1599.05,1.93226,0.99718,0.96035,0.5061,0.3362,0.35321,0.13198,2.53342,2.82108,1.11445,0.041255,0.041255,0.041255
55,1628.48,1.91341,0.98746,0.94691,0.50508,0.41173,0.41204,0.17354,2.36426,2.45897,1.07174,0.04109,0.04109,0.04109
56,1658.02,1.8765,0.99072,0.94736,0.5731,0.33972,0.38526,0.14414,2.43192,2.60458,1.08538,0.040925,0.040925,0.040925
57,1687.5,1.91121,0.9653,0.9516,0.49647,0.396,0.39489,0.14657,2.42554,2.68844,1.09006,0.04076,0.04076,0.04076
58,1716.9,1.87313,0.95884,0.94938,0.51397,0.39204,0.39404,0.16367,2.38178,2.59071,1.077,0.040595,0.040595,0.040595
59,1746.26,1.90476,0.96059,0.95466,0.52704,0.35337,0.3571,0.14689,2.42026,2.64867,1.08858,0.04043,0.04043,0.04043
60,1775.67,1.88862,0.95363,0.94608,0.66974,0.36952,0.39971,0.16333,2.42687,2.534,1.09037,0.040265,0.040265,0.040265
61,1805.12,1.88602,0.95959,0.94785,0.51474,0.42236,0.41172,0.17231,2.30516,2.58556,1.0663,0.0401,0.0401,0.0401
62,1834.52,1.88373,0.96101,0.94092,0.56349,0.37978,0.37849,0.14715,2.37521,2.64479,1.08391,0.039935,0.039935,0.039935
63,1864.05,1.84703,0.91735,0.94247,0.60622,0.37235,0.39455,0.16497,2.33683,2.6774,1.06725,0.03977,0.03977,0.03977
64,1893.51,1.85946,0.92743,0.94584,0.46577,0.39118,0.38029,0.16415,2.3259,2.71125,1.07,0.039605,0.039605,0.039605
65,1922.92,1.84954,0.93892,0.93263,0.58185,0.35755,0.3789,0.15823,2.27379,2.78303,1.05327,0.03944,0.03944,0.03944
66,1952.33,1.86963,0.9319,0.94338,0.44047,0.39799,0.37731,0.15928,2.29851,2.70214,1.06598,0.039275,0.039275,0.039275
67,1981.8,1.84568,0.91104,0.93904,0.54373,0.39262,0.3885,0.15832,2.36297,2.55753,1.08174,0.03911,0.03911,0.03911
68,2011.16,1.83236,0.92774,0.93938,0.57911,0.34868,0.37681,0.15994,2.34526,2.51105,1.07619,0.038945,0.038945,0.038945
69,2040.46,1.82354,0.91164,0.92952,0.45891,0.37873,0.3638,0.14678,2.35256,2.61418,1.07823,0.03878,0.03878,0.03878
70,2069.92,1.829,0.90234,0.93164,0.47274,0.36219,0.37437,0.14251,2.37552,2.73323,1.07196,0.038615,0.038615,0.038615
71,2099.24,1.79798,0.89243,0.93743,0.55792,0.3888,0.3931,0.16077,2.35068,2.46827,1.07787,0.03845,0.03845,0.03845
72,2128.49,1.80756,0.90086,0.92947,0.62858,0.39576,0.41505,0.16483,2.29658,2.55899,1.06296,0.038285,0.038285,0.038285
73,2157.86,1.79832,0.89301,0.93618,0.56438,0.36825,0.37892,0.14502,2.39242,2.54831,1.07832,0.03812,0.03812,0.03812
74,2187.06,1.8079,0.90329,0.92827,0.58424,0.39459,0.41831,0.15528,2.44354,2.58786,1.0946,0.037955,0.037955,0.037955
75,2216.37,1.78937,0.88264,0.9232,0.57063,0.41867,0.4153,0.17053,2.34184,2.46641,1.0701,0.03779,0.03779,0.03779
76,2245.7,1.78699,0.86924,0.93238,0.45595,0.40293,0.37765,0.15988,2.29278,2.57319,1.06419,0.037625,0.037625,0.037625
77,2275.04,1.74801,0.87344,0.92454,0.55989,0.40747,0.41985,0.18267,2.32277,2.32849,1.07116,0.03746,0.03746,0.03746
78,2304.31,1.76883,0.87049,0.92213,0.5091,0.43303,0.40398,0.17464,2.31589,2.51096,1.07279,0.037295,0.037295,0.037295
79,2333.65,1.77991,0.88639,0.92884,0.54576,0.38379,0.40225,0.17933,2.24354,2.47152,1.04644,0.03713,0.03713,0.03713
80,2362.99,1.78015,0.88052,0.92305,0.53559,0.40182,0.40081,0.16386,2.31749,2.36929,1.06544,0.036965,0.036965,0.036965
81,2392.29,1.7466,0.85416,0.92293,0.55236,0.36438,0.37351,0.15064,2.35931,2.55614,1.06736,0.0368,0.0368,0.0368
82,2421.54,1.77659,0.87016,0.91985,0.55045,0.35844,0.37817,0.15912,2.31604,2.64005,1.06923,0.036635,0.036635,0.036635
83,2450.85,1.77152,0.87068,0.92251,0.66287,0.37378,0.41276,0.16453,2.32101,2.39644,1.07138,0.03647,0.03647,0.03647
84,2480.1,1.75945,0.8569,0.92311,0.53512,0.36722,0.38198,0.15697,2.35259,2.53099,1.07414,0.036305,0.036305,0.036305
85,2509.33,1.75929,0.86748,0.91741,0.60183,0.309,0.36794,0.16221,2.342,2.70405,1.06874,0.03614,0.03614,0.03614
86,2538.46,1.74449,0.84745,0.91496,0.49354,0.43803,0.40976,0.18121,2.31392,2.35747,1.0588,0.035975,0.035975,0.035975
