epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8017,2.61377,5.72858,1.15781,0.2332,0.16633,0.10542,0.03005,2.92409,7.0381,1.34162,0.0164141,0.0164141,0.0835859
2,38.8557,2.94388,3.03069,1.25128,0.07947,0.15581,0.04843,0.01209,3.39329,16.1555,1.97829,0.0329716,0.0329716,0.06681
3,54.4898,3.19871,3.26194,1.32291,0,0,0,0,5.89116,25.793,6.75801,0.0494191,0.0494191,0.0499242
4,70.1447,3.1429,3.05243,1.30408,0.00238,0.00983,0.0002,4e-05,4.1854,21.0086,2.32556,0.049505,0.049505,0.049505
5,85.6761,2.93458,2.63288,1.23758,0.1038,0.03698,0.01804,0.00589,2.98612,4.44779,1.30449,0.04934,0.04934,0.04934
6,101.284,2.69671,2.09052,1.15207,0.13649,0.10316,0.06014,0.0174,3.25978,4.6378,1.39514,0.049175,0.049175,0.049175
7,116.847,2.5672,1.8918,1.1205,0.27689,0.18307,0.14405,0.04356,2.70636,3.30783,1.17115,0.04901,0.04901,0.04901
8,132.634,2.49867,1.74617,1.09001,0.19664,0.16511,0.12148,0.04098,2.70321,3.29536,1.17952,0.048845,0.048845,0.048845
9,148.25,2.39509,1.59922,1.07714,0.27605,0.19272,0.18103,0.06161,2.83302,4.21776,1.23049,0.04868,0.04868,0.04868
10,163.88,2.3122,1.47787,1.05894,0.34327,0.21726,0.16849,0.05324,2.87545,3.05219,1.22713,0.048515,0.048515,0.048515
11,179.347,2.27952,1.44114,1.04416,0.43426,0.2227,0.20817,0.08231,2.71312,3.01236,1.22311,0.04835,0.04835,0.04835
12,194.824,2.22243,1.36171,1.04158,0.48227,0.37007,0.35379,0.14078,2.33322,2.39632,1.07235,0.048185,0.048185,0.048185
13,210.48,2.22093,1.33537,1.0323,0.55031,0.2874,0.31941,0.13277,2.38782,2.50232,1.09652,0.04802,0.04802,0.04802
14,226.153,2.18669,1.28459,1.01809,0.29157,0.26179,0.2126,0.0647,2.71599,3.14026,1.15837,0.047855,0.047855,0.047855
15,241.707,2.14968,1.23192,1.00118,0.29886,0.17999,0.1217,0.0373,2.91825,3.35659,1.27786,0.04769,0.04769,0.04769
16,257.316,2.09508,1.2041,0.99792,0.39119,0.37949,0.34122,0.12355,2.31473,2.29025,1.06084,0.047525,0.047525,0.047525
17,273.067,2.08635,1.16609,0.99941,0.38194,0.23165,0.22103,0.07043,2.87683,2.86635,1.20431,0.04736,0.04736,0.04736
18,288.603,2.09107,1.1754,0.99523,0.54725,0.37159,0.38411,0.15946,2.33302,2.37948,1.08817,0.047195,0.047195,0.047195
19,304.175,2.04842,1.12895,0.98638,0.55472,0.36779,0.3971,0.17002,2.28701,2.37128,1.06753,0.04703,0.04703,0.04703
20,319.846,2.02671,1.10414,0.9815,0.41494,0.34781,0.31044,0.12717,2.28951,2.53468,1.07184,0.046865,0.046865,0.046865
21,335.343,2.02737,1.09247,0.97952,0.53671,0.39582,0.3967,0.15638,2.26716,2.24646,1.05759,0.0467,0.0467,0.0467
22,351.088,1.97011,1.07195,0.9673,0.52248,0.37171,0.36933,0.14441,2.28999,2.33941,1.05307,0.046535,0.046535,0.046535
23,366.576,1.9661,1.03004,0.96772,0.39389,0.33183,0.31148,0.10995,2.53102,2.71348,1.12368,0.04637,0.04637,0.04637
24,382.017,1.95145,1.02888,0.9609,0.47941,0.32743,0.32672,0.12529,2.42835,2.56272,1.0995,0.046205,0.046205,0.046205
25,397.703,1.93557,1.0096,0.96397,0.4242,0.46269,0.40283,0.16188,2.27526,2.34584,1.07127,0.04604,0.04604,0.04604
26,413.482,1.93723,0.99509,0.96905,0.41661,0.33569,0.3153,0.10009,2.53314,2.92778,1.13329,0.045875,0.045875,0.045875
27,429.002,1.90469,0.97946,0.95838,0.50382,0.38944,0.40306,0.15022,2.34253,2.45447,1.07014,0.04571,0.04571,0.04571
28,444.375,1.90054,0.97154,0.95202,0.41629,0.34215,0.31046,0.13298,2.3364,2.64766,1.07155,0.045545,0.045545,0.045545
29,459.763,1.85868,0.94921,0.95242,0.3561,0.34891,0.32103,0.14068,2.23368,2.61998,1.04341,0.04538,0.04538,0.04538
30,475.141,1.86868,0.95111,0.95149,0.46111,0.33109,0.32356,0.11217,2.45194,2.61741,1.11093,0.045215,0.045215,0.045215
31,490.479,1.81284,0.90454,0.93971,0.50071,0.43777,0.42104,0.18251,2.25345,2.32755,1.04329,0.04505,0.04505,0.04505
32,505.961,1.83012,0.91126,0.93711,0.55602,0.36914,0.38047,0.15228,2.28461,2.59495,1.05625,0.044885,0.044885,0.044885
33,521.291,1.80816,0.90006,0.9436,0.45493,0.39302,0.39605,0.15794,2.27538,2.63569,1.0478,0.04472,0.04472,0.04472
34,536.698,1.83886,0.90832,0.94073,0.44776,0.40047,0.35031,0.154,2.31905,2.60323,1.07912,0.044555,0.044555,0.044555
35,552.128,1.77595,0.88072,0.9294,0.51729,0.39639,0.40337,0.17507,2.18134,2.39116,1.03991,0.04439,0.04439,0.04439
36,567.528,1.76365,0.87386,0.92536,0.57465,0.3737,0.40223,0.15417,2.32608,2.35372,1.07815,0.044225,0.044225,0.044225
37,583.081,1.78879,0.88467,0.9271,0.41722,0.40462,0.3738,0.15809,2.19247,2.46957,1.03287,0.04406,0.04406,0.04406
38,598.892,1.77799,0.86179,0.92292,0.49008,0.33063,0.34646,0.1566,2.20541,2.6489,1.03838,0.043895,0.043895,0.043895
39,614.463,1.76313,0.8729,0.9277,0.43246,0.37584,0.33451,0.13485,2.32731,2.67259,1.07594,0.04373,0.04373,0.04373
40,629.846,1.7376,0.85394,0.92516,0.52958,0.39923,0.40213,0.15941,2.247,2.29435,1.05108,0.043565,0.043565,0.043565
41,645.259,1.72434,0.84124,0.91494,0.39661,0.34389,0.32757,0.15283,2.18455,2.45306,1.03154,0.0434,0.0434,0.0434
42,660.664,1.75298,0.84246,0.91843,0.49966,0.3709,0.3701,0.16691,2.14333,2.47519,1.03706,0.043235,0.043235,0.043235
43,676.07,1.73662,0.84869,0.91287,0.40904,0.43669,0.38389,0.16028,2.24519,2.41699,1.04795,0.04307,0.04307,0.04307
44,691.588,1.73555,0.82552,0.91023,0.51843,0.41549,0.40363,0.19035,2.12701,2.23188,1.02257,0.042905,0.042905,0.042905
45,707.302,1.72413,0.81961,0.90126,0.56907,0.39169,0.40401,0.17222,2.2582,2.4212,1.04713,0.04274,0.04274,0.04274
46,722.824,1.6967,0.81257,0.91237,0.50016,0.39895,0.39169,0.16303,2.22128,2.47432,1.04706,0.042575,0.042575,0.042575
47,738.263,1.69187,0.79657,0.92046,0.73761,0.29794,0.39651,0.17944,2.17072,2.47663,1.03429,0.04241,0.04241,0.04241
48,753.826,1.7,0.79928,0.90046,0.52282,0.35444,0.35761,0.15093,2.17589,2.563,1.02489,0.042245,0.042245,0.042245
49,769.601,1.66426,0.77692,0.90144,0.50164,0.42963,0.39746,0.1697,2.15493,2.51251,1.03622,0.04208,0.04208,0.04208
50,785.233,1.66482,0.78478,0.9048,0.49126,0.38256,0.36739,0.16051,2.132,2.5844,1.01212,0.041915,0.041915,0.041915
51,801.01,1.63115,0.76535,0.90355,0.4863,0.43966,0.39956,0.17823,2.14694,2.2932,1.03074,0.04175,0.04175,0.04175
52,816.516,1.6801,0.78342,0.90367,0.56431,0.40269,0.40134,0.16549,2.18291,2.53618,1.02266,0.041585,0.041585,0.041585
53,832.141,1.66867,0.79067,0.90283,0.61548,0.46469,0.45295,0.18444,2.13709,2.35158,1.03375,0.04142,0.04142,0.04142
54,847.886,1.62236,0.77662,0.89555,0.42607,0.41671,0.35961,0.15096,2.19255,2.55497,1.04624,0.041255,0.041255,0.041255
55,863.623,1.64258,0.76959,0.89225,0.62849,0.43235,0.43095,0.19787,2.06492,2.35083,1.00656,0.04109,0.04109,0.04109
56,879.175,1.63409,0.75763,0.89465,0.38972,0.46117,0.40217,0.18906,2.06632,2.26502,1.00213,0.040925,0.040925,0.040925
57,894.7,1.61361,0.7446,0.89581,0.48652,0.41447,0.39575,0.16755,2.17683,2.41917,1.03961,0.04076,0.04076,0.04076
58,910.22,1.59744,0.74299,0.89181,0.47398,0.39199,0.3805,0.16489,2.13487,2.58346,1.02485,0.040595,0.040595,0.040595
59,925.892,1.57801,0.7406,0.89276,0.43581,0.40582,0.3595,0.15619,2.17482,2.50771,1.02279,0.04043,0.04043,0.04043
60,941.541,1.57593,0.73839,0.88679,0.50007,0.40118,0.3922,0.17707,2.11134,2.3096,1.00923,0.040265,0.040265,0.040265
61,957.104,1.60888,0.73932,0.89076,0.40199,0.44335,0.39078,0.17136,2.1197,2.41183,1.01262,0.0401,0.0401,0.0401
62,972.626,1.59524,0.74633,0.88299,0.42338,0.39258,0.34772,0.15699,2.15605,2.52893,1.03044,0.039935,0.039935,0.039935
63,988.301,1.58418,0.73404,0.88929,0.50853,0.42117,0.40144,0.17089,2.19561,2.50202,1.03445,0.03977,0.03977,0.03977
64,1003.79,1.6018,0.74108,0.89001,0.49038,0.42504,0.39099,0.16958,2.22163,2.46953,1.04646,0.039605,0.039605,0.039605
65,1019.29,1.56116,0.72291,0.8762,0.53876,0.36997,0.38213,0.16711,2.08346,2.66014,1.0223,0.03944,0.03944,0.03944
66,1034.73,1.58071,0.72784,0.89132,0.49118,0.42978,0.38065,0.16567,2.15067,2.37588,1.02807,0.039275,0.039275,0.039275
67,1050.22,1.57617,0.72831,0.8851,0.42079,0.42315,0.37363,0.16036,2.13108,2.40868,1.01622,0.03911,0.03911,0.03911
68,1065.72,1.54481,0.70976,0.87855,0.48689,0.43355,0.40138,0.17838,2.18568,2.50517,1.03512,0.038945,0.038945,0.038945
69,1081.19,1.52887,0.71904,0.88265,0.58349,0.39462,0.42028,0.174,2.2016,2.41252,1.04675,0.03878,0.03878,0.03878
70,1096.68,1.52585,0.70134,0.87657,0.44091,0.3988,0.36627,0.15791,2.14172,2.47111,1.02361,0.038615,0.038615,0.038615
71,1112.08,1.53269,0.71062,0.87815,0.47771,0.39,0.38036,0.16214,2.18245,2.46435,1.02197,0.03845,0.03845,0.03845
72,1127.58,1.52682,0.70126,0.87531,0.54014,0.42691,0.42977,0.18726,2.1325,2.25675,1.01591,0.038285,0.038285,0.038285
73,1143.21,1.52025,0.69255,0.88335,0.51087,0.37224,0.37451,0.15341,2.1687,2.49281,1.0239,0.03812,0.03812,0.03812
74,1158.86,1.53179,0.70453,0.87826,0.48375,0.39435,0.38645,0.18158,2.1558,2.62047,1.04411,0.037955,0.037955,0.037955
75,1174.45,1.52145,0.69828,0.87533,0.55238,0.39998,0.41032,0.18316,2.15119,2.44547,1.03141,0.03779,0.03779,0.03779
76,1190.15,1.50349,0.68895,0.87836,0.52028,0.37737,0.3715,0.17512,2.1202,2.55891,1.03569,0.037625,0.037625,0.037625
77,1205.85,1.47591,0.67987,0.87733,0.5321,0.40173,0.41204,0.18074,2.16589,2.31357,1.02956,0.03746,0.03746,0.03746
78,1221.54,1.51699,0.69923,0.87182,0.55748,0.33446,0.36404,0.17191,2.13967,2.4891,1.03359,0.037295,0.037295,0.037295
79,1237.04,1.48808,0.68151,0.87256,0.5881,0.41396,0.43871,0.18818,2.18898,2.24864,1.0496,0.03713,0.03713,0.03713
80,1252.61,1.48935,0.67816,0.88092,0.5145,0.35898,0.37402,0.16513,2.2028,2.57426,1.04516,0.036965,0.036965,0.036965
81,1268.49,1.47959,0.67816,0.8642,0.57991,0.373,0.40042,0.16251,2.23355,2.40101,1.05229,0.0368,0.0368,0.0368
82,1284,1.46768,0.66871,0.86529,0.47732,0.40549,0.36607,0.15857,2.13586,2.64315,1.02302,0.036635,0.036635,0.036635
