epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2222,2.83168,7.46119,1.2327,0.24447,0.13789,0.12317,0.03355,2.87772,3.12573,1.35817,0.0164141,0.0164141,0.0835859
2,26.4222,2.94483,3.01037,1.25547,0.13131,0.06173,0.03362,0.00816,3.32487,4.51112,1.70411,0.0329716,0.0329716,0.06681
3,36.5483,3.16933,2.90635,1.31945,0.00306,0.01118,0.00279,0.00107,3.98668,81.8857,2.48463,0.0494191,0.0494191,0.0499242
4,46.5741,3.1854,3.21238,1.33495,0.03808,0.06989,0.01272,0.00365,3.59551,8.2274,1.61934,0.049505,0.049505,0.049505
5,56.5809,2.92694,2.54032,1.23682,0.153,0.04937,0.02151,0.00642,3.64414,5.09608,1.69476,0.04934,0.04934,0.04934
6,66.5316,2.71142,2.21055,1.1534,0.1525,0.15012,0.06785,0.02629,2.74857,3.67567,1.22416,0.049175,0.049175,0.049175
7,76.3707,2.59615,1.97005,1.1271,0.16122,0.06438,0.06403,0.01549,3.1115,7.60543,1.34596,0.04901,0.04901,0.04901
8,86.3625,2.54115,1.78697,1.10152,0.2846,0.2875,0.23177,0.07807,2.64468,2.53091,1.16229,0.048845,0.048845,0.048845
9,96.3618,2.46676,1.71336,1.089,0.32366,0.324,0.2219,0.07146,2.59305,2.6021,1.15696,0.04868,0.04868,0.04868
10,106.209,2.3616,1.55133,1.06889,0.3404,0.24133,0.24814,0.08077,2.62744,2.7811,1.12627,0.048515,0.048515,0.048515
11,116.161,2.34781,1.51076,1.06338,0.41709,0.36068,0.3103,0.11371,2.47757,2.56911,1.10872,0.04835,0.04835,0.04835
12,126.005,2.28583,1.4539,1.05895,0.46372,0.29341,0.28077,0.093,2.62329,2.66592,1.16324,0.048185,0.048185,0.048185
13,135.918,2.25972,1.39439,1.04529,0.51839,0.27118,0.25673,0.09772,2.41635,2.74545,1.10199,0.04802,0.04802,0.04802
14,145.807,2.24593,1.36118,1.02623,0.46914,0.27014,0.28369,0.10082,2.49686,2.5873,1.11759,0.047855,0.047855,0.047855
15,155.783,2.17948,1.30139,1.00516,0.42264,0.30528,0.27647,0.11078,2.416,2.52707,1.10642,0.04769,0.04769,0.04769
16,165.633,2.1802,1.26496,1.02217,0.42235,0.34678,0.33794,0.13165,2.35549,2.48556,1.07521,0.047525,0.047525,0.047525
17,175.484,2.14712,1.23057,1.01049,0.44447,0.34573,0.33513,0.13536,2.34232,2.48687,1.07069,0.04736,0.04736,0.04736
18,185.26,2.16869,1.24305,1.0087,0.46557,0.31483,0.31576,0.13622,2.33042,2.49917,1.06651,0.047195,0.047195,0.047195
19,194.953,2.09644,1.1706,0.9984,0.58785,0.30107,0.35556,0.15682,2.35573,2.37931,1.08807,0.04703,0.04703,0.04703
20,204.713,2.07723,1.14351,0.99302,0.5031,0.37017,0.33993,0.13149,2.32953,2.44981,1.08547,0.046865,0.046865,0.046865
21,214.474,2.05613,1.14147,0.98822,0.40268,0.33072,0.29519,0.11819,2.32634,2.63146,1.07869,0.0467,0.0467,0.0467
22,224.198,2.03423,1.12295,0.98109,0.52064,0.35682,0.36844,0.16095,2.2685,2.42936,1.06422,0.046535,0.046535,0.046535
23,233.982,2.04386,1.1221,0.98112,0.45552,0.39494,0.38384,0.14733,2.3236,2.37307,1.06312,0.04637,0.04637,0.04637
24,243.757,2.04142,1.10153,0.98276,0.36052,0.35067,0.28762,0.10543,2.46619,2.69155,1.10115,0.046205,0.046205,0.046205
25,253.551,2.01947,1.07753,0.97888,0.52216,0.35086,0.36593,0.15232,2.19868,2.49389,1.03933,0.04604,0.04604,0.04604
